insee_code,name,postal_codes,department_code,department_name
01193,Izieu,01300,01,Ain
01194,Jassans-Riottier,01480,01,Ain
01195,Jasseron,01250,01,Ain
01196,Jayat,01340,01,Ain
01197,Journans,01250,01,Ain
01198,Joyeux,01800,01,Ain
01199,Jujurieux,01640,01,Ain
01200,Labalme,01450,01,Ain
01202,Lagnieu,01150,01,Ain
01203,Laiz,01290,01,Ain
01204,Le Poizat-Lalleyriat,01130,01,Ain
01206,Lantenay,01430,01,Ain
01207,Lapeyrouse,01330,01,Ain
01208,Lavours,01350,01,Ain
01209,Léaz,01200,01,Ain
01210,Lélex,01410,01,Ain
01211,Lent,01240,01,Ain
01212,Lescheroux,01560,01,Ain
01213,Leyment,01150,01,Ain
01214,Leyssard,01450,01,Ain
01215,Surjoux-Lhopital,01420,01,Ain
01216,Lhuis,01680,01,Ain
01219,Lompnas,01680,01,Ain
01224,Loyettes,01360,01,Ain
01225,Lurcy,01090,01,Ain
01227,Magnieu,01300,01,Ain
01228,Maillat,01430,01,Ain
01229,Malafretaz,01340,01,Ain
01230,Mantenay-Montlin,01560,01,Ain
01231,Manziat,01570,01,Ain
01232,Marboz,01851,01,Ain
01233,Marchamp,01680,01,Ain
01234,Marignieu,01300,01,Ain
01235,Marlieux,01240,01,Ain
01236,Marsonnas,01340,01,Ain
01237,Martignat,01100,01,Ain
01238,Massieux,01600,01,Ain
01239,Massignieu-de-Rives,01300,01,Ain
01240,Matafelon-Granges,01580,01,Ain
01241,Meillonnas,01370,01,Ain
01242,Mérignat,01450,01,Ain
01243,Messimy-sur-Saône,01480,01,Ain
01244,Meximieux,01800,01,Ain
01245,Bohas-Meyriat-Rignat,01250,01,Ain
01246,Mézériat,01660,01,Ain
01247,Mijoux,01170;01410,01,Ain
01248,Mionnay,01390,01,Ain
01249,Miribel,01700,01,Ain
01250,Misérieux,01600,01,Ain
01252,Mogneneins,01140,01,Ain
01254,Montagnat,01250,01,Ain
01255,Montagnieu,01470,01,Ain
01257,Montanges,01200,01,Ain
01258,Montceaux,01090,01,Ain
01259,Montcet,01310,01,Ain
01260,Le Montellier,01800,01,Ain
01261,Monthieux,01390,01,Ain
01262,Montluel,01120,01,Ain
01263,Montmerle-sur-Saône,01090,01,Ain
01264,Montracol,01310,01,Ain
01265,Montréal-la-Cluse,01460,01,Ain
01266,Montrevel-en-Bresse,01340,01,Ain
01267,Nurieux-Volognat,01460,01,Ain
01268,Murs-et-Gélignieux,01300,01,Ain
01269,Nantua,01130;01460,01,Ain
01272,Neuville-les-Dames,01400,01,Ain
01273,Neuville-sur-Ain,01160,01,Ain
01274,Les Neyrolles,01130,01,Ain
01275,Neyron,01700,01,Ain
01276,Niévroz,01120,01,Ain
01277,Nivollet-Montgriffon,01230,01,Ain
01279,Oncieu,01230,01,Ain
01280,Ordonnaz,01510,01,Ain
01281,Ornex,01210,01,Ain
01282,Outriaz,01430,01,Ain
01283,Oyonnax,01100,01,Ain
01284,Ozan,01190,01,Ain
01285,Parcieux,01600,01,Ain
01286,Parves et Nattages,01300,01,Ain
01288,Péron,01630,01,Ain
01289,Péronnas,01960,01,Ain
01290,Pérouges,01800,01,Ain
01291,Perrex,01540,01,Ain
01293,Peyriat,01430,01,Ain
01294,Peyrieu,01300,01,Ain
01295,Peyzieux-sur-Saône,01140,01,Ain
01296,Pirajoux,01270,01,Ain
01297,Pizay,01120,01,Ain
01298,Plagne,01130,01,Ain
01299,Le Plantay,01330,01,Ain
01301,Polliat,01310,01,Ain
01302,Pollieu,01350,01,Ain
01303,Poncin,01450,01,Ain
01304,Pont-d'Ain,01160,01,Ain
01305,Pont-de-Vaux,01190,01,Ain
01306,Pont-de-Veyle,01290,01,Ain
01307,Port,01460,01,Ain
01308,Pougny,01550,01,Ain
01309,Pouillat,01250,01,Ain
01310,Prémeyzel,01300,01,Ain
01311,Prémillieu,01110,01,Ain
01313,Prévessin-Moëns,01280,01,Ain
01314,Priay,01160,01,Ain
01317,Ramasse,01250,01,Ain
01318,Rancé,01390,01,Ain
01319,Relevant,01990,01,Ain
01320,Replonges,01750,01,Ain
01321,Revonnas,01250,01,Ain
01322,Reyrieux,01600,01,Ain
01323,Reyssouze,01190,01,Ain
01325,Rignieux-le-Franc,01800,01,Ain
01328,Romans,01400,01,Ain
01329,Rossillon,01510,01,Ain
01331,Saint-Alban,01450,01,Ain
01332,Saint-André-de-Bâgé,01380,01,Ain
01333,Saint-André-de-Corcy,01390,01,Ain
01334,Saint-André-d'Huiriat,01290,01,Ain
01335,Saint-André-le-Bouchoux,01240,01,Ain
01336,Saint-André-sur-Vieux-Jonc,01960,01,Ain
01337,Saint-Bénigne,01190,01,Ain
01338,Groslée-Saint-Benoit,01300,01,Ain
01339,Saint-Bernard,01600,01,Ain
01342,Sainte-Croix,01120,01,Ain
01343,Saint-Cyr-sur-Menthon,01380,01,Ain
01344,Saint-Denis-lès-Bourg,01000,01,Ain
01345,Saint-Denis-en-Bugey,01500,01,Ain
01346,Saint-Didier-d'Aussiat,01340,01,Ain
01347,Saint-Didier-de-Formans,01600,01,Ain
01348,Saint-Didier-sur-Chalaronne,01140,01,Ain
01349,Saint-Éloi,01800,01,Ain
01350,Saint-Étienne-du-Bois,01370,01,Ain
01351,Saint-Étienne-sur-Chalaronne,01140,01,Ain
01352,Saint-Étienne-sur-Reyssouze,01190,01,Ain
01353,Sainte-Euphémie,01600,01,Ain
01354,Saint-Genis-Pouilly,01630,01,Ain
01355,Saint-Genis-sur-Menthon,01380,01,Ain
01356,Saint-Georges-sur-Renon,01400,01,Ain
01357,Saint-Germain-de-Joux,01130,01,Ain
01358,Saint-Germain-les-Paroisses,01300,01,Ain
01359,Saint-Germain-sur-Renon,01240,01,Ain
01360,Saint-Jean-de-Gonville,01630,01,Ain
01361,Saint-Jean-de-Niost,01800,01,Ain
01362,Saint-Jean-de-Thurigneux,01390,01,Ain
01363,Saint-Jean-le-Vieux,01640,01,Ain
01364,Saint-Jean-sur-Reyssouze,01560,01,Ain
01365,Saint-Jean-sur-Veyle,01290,01,Ain
01366,Sainte-Julie,01150,01,Ain
01367,Saint-Julien-sur-Reyssouze,01560,01,Ain
01368,Saint-Julien-sur-Veyle,01540,01,Ain
01369,Saint-Just,01250,01,Ain
01370,Saint-Laurent-sur-Saône,01750,01,Ain
01371,Saint-Marcel,01390,01,Ain
01372,Saint-Martin-de-Bavel,01510,01,Ain
01373,Saint-Martin-du-Frêne,01430,01,Ain
01374,Saint-Martin-du-Mont,01160,01,Ain
01375,Saint-Martin-le-Châtel,01310,01,Ain
01376,Saint-Maurice-de-Beynost,01700,01,Ain
01378,Saint-Maurice-de-Gourdans,01800,01,Ain
01379,Saint-Maurice-de-Rémens,01500,01,Ain
01380,Saint-Nizier-le-Bouchoux,01560,01,Ain
01381,Saint-Nizier-le-Désert,01320,01,Ain
01382,Sainte-Olive,01330,01,Ain
01383,Saint-Paul-de-Varax,01240,01,Ain
01384,Saint-Rambert-en-Bugey,01230,01,Ain
01385,Saint-Rémy,01310,01,Ain
01386,Saint-Sorlin-en-Bugey,01150,01,Ain
01387,Saint-Sulpice,01340,01,Ain
01388,Saint-Trivier-de-Courtes,01560,01,Ain
01389,Saint-Trivier-sur-Moignans,01990,01,Ain
01390,Saint-Vulbas,01150,01,Ain
01391,Salavre,01270,01,Ain
01392,Samognat,01580,01,Ain
01393,Sandrans,01400,01,Ain
01396,Sault-Brénaz,01150,01,Ain
01397,Sauverny,01220,01,Ain
01398,Savigneux,01480,01,Ain
01399,Ségny,01170,01,Ain
01400,Seillonnaz,01470,01,Ain
01401,Sergy,01630,01,Ain
01402,Sermoyer,01190,01,Ain
01403,Serrières-de-Briord,01470,01,Ain
01404,Serrières-sur-Ain,01450,01,Ain
01405,Servas,01960,01,Ain
01406,Servignat,01560,01,Ain
01407,Seyssel,01420,01,Ain
01408,Simandre-sur-Suran,01250,01,Ain
01410,Sonthonnax-la-Montagne,01580,01,Ain
01411,Souclin,01150,01,Ain
01412,Sulignat,01400,01,Ain
01415,Talissieu,01510,01,Ain
01416,Tenay,01230,01,Ain
01418,Thil,01120,01,Ain
01419,Thoiry,01710,01,Ain
01420,Thoissey,01140,01,Ain
01421,Torcieu,01230,01,Ain
01422,Tossiat,01250,01,Ain
01423,Toussieux,01600,01,Ain
01424,Tramoyes,01390,01,Ain
01425,La Tranclière,01160,01,Ain
01426,Val-Revermont,01370,01,Ain
01427,Trévoux,01600,01,Ain
01428,Valeins,01140,01,Ain
01429,Vandeins,01660,01,Ain
01430,Varambon,01160,01,Ain
01431,Vaux-en-Bugey,01150,01,Ain
01432,Verjon,01270,01,Ain
01433,Vernoux,01560,01,Ain
01434,Versailleux,01330,01,Ain
01435,Versonnex,01210,01,Ain
01436,Vesancy,01170,01,Ain
01437,Vescours,01560,01,Ain
01439,Vésines,01570,01,Ain
01441,Vieu-d'Izenave,01430,01,Ain
01443,Villars-les-Dombes,01330,01,Ain
01444,Villebois,01150,01,Ain
01445,Villemotier,01270,01,Ain
01446,Villeneuve,01480,01,Ain
01447,Villereversure,01250,01,Ain
01448,Villes,01200,01,Ain
01449,Villette-sur-Ain,01320,01,Ain
01450,Villieu-Loyes-Mollon,01800,01,Ain
01451,Viriat,01440,01,Ain
01452,Virieu-le-Grand,01510,01,Ain
01453,Arvière-en-Valromey,01260,01,Ain
01454,Virignin,01300,01,Ain
01456,Vongnes,01350,01,Ain
01457,Vonnas,01540,01,Ain
02001,Abbécourt,02300,02,Aisne
02002,Achery,02800,02,Aisne
02003,Acy,02200,02,Aisne
02004,Agnicourt-et-Séchelles,02340,02,Aisne
02005,Aguilcourt,02190,02,Aisne
02006,Aisonville-et-Bernoville,02110,02,Aisne
02007,Aizelles,02820,02,Aisne
02008,Aizy-Jouy,02370,02,Aisne
02009,Alaincourt,02240,02,Aisne
02010,Allemant,02320,02,Aisne
02011,Ambleny,02290,02,Aisne
02012,Ambrief,02200,02,Aisne
02013,Amifontaine,02190,02,Aisne
02014,Amigny-Rouy,02700,02,Aisne
02015,Ancienville,02600,02,Aisne
02016,Andelain,02800,02,Aisne
02017,Anguilcourt-le-Sart,02800,02,Aisne
02018,Anizy-le-Grand,02320,02,Aisne
02019,Annois,02480,02,Aisne
02020,Any-Martin-Rieux,02500,02,Aisne
02021,Archon,02360,02,Aisne
02022,Arcy-Sainte-Restitue,02130,02,Aisne
02023,Armentières-sur-Ourcq,02210,02,Aisne
02024,Arrancy,02860,02,Aisne
02025,Artemps,02480,02,Aisne
02027,Assis-sur-Serre,02270,02,Aisne
02028,Athies-sous-Laon,02840,02,Aisne
02029,Attilly,02490,02,Aisne
02030,Aubencheul-aux-Bois,02420,02,Aisne
02031,Aubenton,02500,02,Aisne
02032,Aubigny-aux-Kaisnes,02590,02,Aisne
02033,Aubigny-en-Laonnois,02820,02,Aisne
02034,Audignicourt,02300,02,Aisne
02035,Audigny,02120,02,Aisne
02036,Augy,02220,02,Aisne
02037,Aulnois-sous-Laon,02000,02,Aisne
02038,Les Autels,02360,02,Aisne
02039,Autremencourt,02250,02,Aisne
02040,Autreppes,02580,02,Aisne
02041,Autreville,02300,02,Aisne
02042,Azy-sur-Marne,02400,02,Aisne
02043,Bagneux,02290,02,Aisne
02044,Bancigny,02140,02,Aisne
02046,Barenton-Bugny,02000,02,Aisne
02047,Barenton-Cel,02000,02,Aisne
02048,Barenton-sur-Serre,02270,02,Aisne
02049,Barisis-aux-Bois,02700,02,Aisne
02050,Barzy-en-Thiérache,02170,02,Aisne
02051,Barzy-sur-Marne,02850,02,Aisne
02052,Bassoles-Aulers,02380,02,Aisne
02053,Vallées en Champagne,02330,02,Aisne
02054,Bazoches-et-Saint-Thibaut,02220,02,Aisne
02055,Beaumé,02500,02,Aisne
